채널,메시지프레이밍,메시지소구,광고모델,클릭율
2,1,2,2,0.01400
1,1,2,2,0.02500
2,1,2,2,0.01600
1,1,2,2,0.02500
2,1,2,2,0.01200
1,1,2,2,0.01300
1,1,1,2,0.01200
1,1,1,1,0.01700
2,1,1,1,0.00800
1,2,2,1,0.02100
2,2,2,1,0.01300
1,1,2,3,0.00400
1,1,1,2,0.01200
2,1,1,3,0.01200
1,1,1,3,0.01500
1,1,2,2,0.02000
2,1,2,2,0.03100
1,1,2,2,0.02700
1,1,1,2,0.01200
1,1,2,2,0.01100
1,1,1,1,0.02100
2,1,1,1,0.01900
1,1,1,2,0.01700
1,1,1,2,0.01500
2,1,1,2,0.01000
1,1,1,3,0.01600
2,1,1,3,0.01300
1,1,2,1,0.04300
2,1,2,1,0.02200
1,1,1,3,0.01800
2,1,1,3,0.01300
2,1,1,2,0.01100
1,1,1,2,0.01000
2,1,2,2,0.01500
1,1,2,2,0.01500
2,1,1,2,0.02700
1,1,1,2,0.05100
2,1,1,2,0.02000
1,1,1,2,0.03100
2,1,1,1,0.01600
1,1,1,1,0.02300
1,1,1,2,0.01000
1,2,2,1,0.00800
1,2,2,1,0.00700
1,1,2,2,0.01700
2,1,2,2,0.02900
1,1,2,2,0.03000
2,1,2,3,0.00500
1,1,2,3,0.00300
2,1,1,2,0.01100
1,1,1,2,0.01600
1,1,1,2,0.02800
1,1,1,2,0.01400
1,1,1,2,0.01600
1,1,2,2,0.01300
1,1,2,2,0.01500
1,1,1,1,0.02300
2,1,1,1,0.01900
1,1,1,2,0.02000
1,1,2,2,0.03100
2,1,2,2,0.01400
1,1,2,2,0.02000
1,1,1,2,0.01500
2,1,1,2,0.01200
1,1,1,3,0.01800
2,1,1,3,0.01700
1,1,2,1,0.02800
2,1,2,1,0.01900
2,1,1,2,0.01200
1,1,2,2,0.01600
2,1,2,2,0.01200
1,1,1,2,0.02000
1,2,2,1,0.12000
1,2,2,1,0.00500
1,1,2,2,0.01900
2,1,2,2,0.03500
1,1,2,2,0.03800
1,1,2,2,0.02400
2,1,2,2,0.01800
1,1,2,2,0.03900
1,1,2,2,0.01600
1,1,2,2,0.01600
2,1,2,3,0.00500
1,1,2,3,0.01000
2,1,1,2,0.01100
1,1,1,2,0.02700
2,1,1,2,0.00900
1,1,1,2,0.02700
1,1,1,2,0.01400
1,1,2,2,0.00800
1,1,1,2,0.02700
1,1,2,2,0.02700
2,1,2,2,0.01600
1,1,2,2,0.01900
