SNS Platform,Framing,Appeal,Model,Product,Season,CTR
Instagram,Positive,Rational,Profession,Procedure,Non-Season,0.021754357
Facebook,Positive,Rational,Profession,Procedure,Non-Season,0.015004114
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.009888344
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.0135837
Instagram,Negative,Emotional,Ordinary,Procedure,Non-Season,0.047119518
Facebook,Negative,Emotional,Ordinary,Procedure,Non-Season,0.020576132
Instagram,Negative,Emotional,Ordinary,Procedure,Non-Season,0.02407751
Facebook,Negative,Emotional,Ordinary,Procedure,Non-Season,0.012166272
Instagram,Negative,Emotional,Ordinary,Procedure,Non-Season,0.028274668
Facebook,Negative,Emotional,Ordinary,Procedure,Non-Season,0.010214061
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.044456805
Facebook,Positive,Emotional,Ordinary,Procedure,Non-Season,0.015138772
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.037735849
Facebook,Positive,Emotional,Ordinary,Procedure,Non-Season,0.013888889
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.011108867
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.015633211
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.012824249
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.014863749
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.016340248
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.02200229
Instagram,Positive,Rational,Character,Procedure,Non-Season,0.020147086
Facebook,Positive,Rational,Character,Procedure,Non-Season,0.010104052
Instagram,Negative,Emotional,Character,Procedure,Non-Season,0.025750441
Facebook,Negative,Emotional,Character,Procedure,Non-Season,0.016895953
Instagram,Positive,Rational,Character,Procedure,Non-Season,0.040930812
Facebook,Positive,Rational,Character,Procedure,Non-Season,0.030085687
Instagram,Positive,Rational,Character,Procedure,Non-Season,0.025973254
Facebook,Positive,Rational,Character,Procedure,Non-Season,0.023180459
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.018802954
Facebook,Positive,Emotional,Ordinary,Suction,Non-Season,0.009613673
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.016031458
Instagram,Positive,Rational,Profession,Suction,Non-Season,0.017720586
Instagram,Positive,Rational,Profession,Suction,Non-Season,0.012950009
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.016662354
Facebook,Positive,Emotional,Ordinary,Suction,Non-Season,0.027756939
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.0338676
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.008916002
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.021466688
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.013765076
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.02938823
Instagram,Positive,Emotional,Character,Suction,Non-Season,0.014633546
Instagram,Negative,Emotional,Character,Suction,Non-Season,0.012264433
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.03710322
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.020072539
Facebook,Positive,Rational,Character,Suction,Non-Season,0.00593456
Instagram,Positive,Rational,Character,Suction,Non-Season,0.016623394
Instagram,Positive,Rational,Profession,Suction,Non-Season,0.011654237
Instagram,Positive,Rational,Character,Suction,Non-Season,0.012566322
Instagram,Negative,Emotional,Character,Procedure,Non-Season,0.030760626
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.008948952
Instagram,Positive,Rational,Character,Suction,Non-Season,0.008496128
Instagram,Positive,Rational,Character,Suction,Non-Season,0.028323732
Instagram,Negative,Rational,Character,Suction,Non-Season,0.039449706
Instagram,Positive,Rational,Profession,Suction,Non-Season,0.011422444
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.016634299
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.017766305
Facebook,Positive,Rational,Profession,Suction,Non-Season,0.008502126
Instagram,Positive,Rational,Profession,Suction,Non-Season,0.025093834
Facebook,Positive,Emotional,Ordinary,Suction,Non-Season,0.029574861
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.014196306
Facebook,Positive,Emotional,Ordinary,Procedure,Non-Season,0.004355324
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.001123528
Facebook,Positive,Emotional,Ordinary,Procedure,Non-Season,0.005717935
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.001431778
Instagram,Positive,Rational,Character,Procedure,Non-Season,0.019352548
Facebook,Positive,Rational,Character,Procedure,Non-Season,0.021105453
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.015902115
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.016649195
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.007100345
Instagram,Positive,Rational,Profession,Procedure,Non-Season,0.016057342
Facebook,Positive,Rational,Profession,Procedure,Non-Season,0.009714984
Instagram,Positive,Rational,Profession,Procedure,Non-Season,0.01772124
Facebook,Positive,Rational,Profession,Procedure,Non-Season,0.014607963
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.013343903
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.012496732
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.018452296
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.011008111
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.024954032
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.01430303
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.018800169
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.005282271
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.019032822
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.016584767
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.016753115
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.033623359
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.015980959
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.019379845
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.012470309
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.012
Facebook,Positive,Emotional,Ordinary,Procedure,Non-Season,0.010570502
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.022198276
Facebook,Positive,Emotional,Ordinary,Procedure,Non-Season,0.012572121
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.024676724
Facebook,Positive,Emotional,Ordinary,Procedure,Non-Season,0.009904578
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.011466112
Instagram,Positive,Rational,Character,Procedure,Non-Season,0.01449436
Facebook,Positive,Rational,Character,Procedure,Non-Season,0.007666462
Instagram,Negative,Emotional,Character,Procedure,Non-Season,0.020014932
Facebook,Negative,Emotional,Character,Procedure,Non-Season,0.013951711
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.0076591
Facebook,Positive,Emotional,Ordinary,Procedure,Non-Season,0.008364701
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.005664327
Facebook,Positive,Emotional,Ordinary,Procedure,Non-Season,0.008140008
Instagram,Positive,Rational,Character,Procedure,Non-Season,0.029247312
Facebook,Positive,Rational,Character,Procedure,Non-Season,0.027309237
Instagram,Positive,Rational,Character,Procedure,Non-Season,0.016192404
Facebook,Positive,Rational,Character,Procedure,Non-Season,0.015419162
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.017851847
Facebook,Positive,Emotional,Ordinary,Suction,Non-Season,0.01207647
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.012394022
Facebook,Positive,Rational,Profession,Suction,Non-Season,0.011594962
Instagram,Positive,Rational,Profession,Suction,Non-Season,0.01480322
Instagram,Positive,Rational,Profession,Suction,Non-Season,0.01322888
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.01490726
Facebook,Positive,Emotional,Ordinary,Suction,Non-Season,0.028661973
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.024907797
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.022803224
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.013325468
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.01013126
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.020640605
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.041924935
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.025503848
Facebook,Positive,Rational,Character,Suction,Non-Season,0.006098599
Instagram,Positive,Rational,Character,Suction,Non-Season,0.016495095
Instagram,Positive,Rational,Profession,Suction,Non-Season,0.006391727
Instagram,Positive,Rational,Profession,Suction,Non-Season,0.002179635
Instagram,Positive,Rational,Character,Suction,Non-Season,0.012371952
Instagram,Negative,Emotional,Character,Procedure,Non-Season,0.016661944
Instagram,Negative,Emotional,Ordinary,Suction,Non-Season,0.00293071
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.011690647
Instagram,Positive,Rational,Character,Suction,Non-Season,0.014807791
Instagram,Positive,Rational,Profession,Suction,Non-Season,0.016803631
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.02666201
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.019573268
Facebook,Positive,Rational,Ordinary,Suction,Non-Season,0.029905471
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.008476821
Facebook,Positive,Emotional,Ordinary,Suction,Non-Season,0.036485528
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.012236158
Facebook,Positive,Rational,Ordinary,Suction,Non-Season,0.020602046
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.009055408
Facebook,Positive,Emotional,Ordinary,Suction,Non-Season,0.020043505
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.011939556
Instagram,Positive,Rational,Character,Procedure,Non-Season,0.017868941
Facebook,Positive,Rational,Character,Procedure,Non-Season,0.015566251
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.016035036
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.019070382
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.011876485
Instagram,Positive,Rational,Profession,Procedure,Non-Season,0.013608247
Facebook,Positive,Rational,Profession,Procedure,Non-Season,0.010380267
Instagram,Positive,Emotional,Character,Procedure,Non-Season,0.036401925
Instagram,Positive,Rational,Profession,Procedure,Non-Season,0.016818731
Facebook,Positive,Rational,Profession,Procedure,Non-Season,0.014452494
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.009955556
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.006835938
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.028308097
Facebook,Positive,Emotional,Ordinary,Procedure,Non-Season,0.013672943
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.024616836
Facebook,Positive,Emotional,Ordinary,Procedure,Non-Season,0.015519087
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.025041264
Facebook,Positive,Emotional,Ordinary,Procedure,Non-Season,0.011674273
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.01333689
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.0119087
Instagram,Positive,Rational,Character,Procedure,Non-Season,0.017095487
Facebook,Positive,Rational,Character,Procedure,Non-Season,0.008031116
Instagram,Negative,Emotional,Character,Procedure,Non-Season,0.02135217
Facebook,Negative,Emotional,Character,Procedure,Non-Season,0.012801991
Instagram,Positive,Emotional,Profession,Suction,Non-Season,0.004047047
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.012337486
Facebook,Positive,Rational,Profession,Suction,Non-Season,0.011777488
Instagram,Positive,Rational,Profession,Suction,Non-Season,0.014689815
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.020051398
Facebook,Positive,Emotional,Ordinary,Suction,Non-Season,0.030700642
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.026996718
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.012130706
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.011017868
Instagram,Positive,Rational,Character,Procedure,Non-Season,0.020603845
Facebook,Positive,Rational,Character,Procedure,Non-Season,0.018768191
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.016692587
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.015418714
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.010170801
Instagram,Positive,Rational,Profession,Procedure,Non-Season,0.016082161
Facebook,Positive,Rational,Profession,Procedure,Non-Season,0.012898498
Instagram,Positive,Emotional,Character,Procedure,Non-Season,0.043311907
Facebook,Positive,Emotional,Character,Procedure,Non-Season,0.0224429
Instagram,Positive,Rational,Profession,Procedure,Non-Season,0.017673437
Facebook,Positive,Rational,Profession,Procedure,Non-Season,0.012514805
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.010526316
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.010490401
Facebook,Positive,Emotional,Ordinary,Procedure,Non-Season,0.015458422
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.014885153
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.027052833
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.050973891
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.020070838
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.03071098
Facebook,Positive,Rational,Character,Procedure,Non-Season,0.016337386
Instagram,Positive,Rational,Character,Procedure,Non-Season,0.022776968
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.010190895
Instagram,Negative,Emotional,Character,Procedure,Non-Season,0.008434998
Instagram,Negative,Emotional,Character,Procedure,Non-Season,0.00705985
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.016698
Facebook,Positive,Emotional,Ordinary,Suction,Non-Season,0.028544779
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.030419667
Facebook,Positive,Emotional,Profession,Suction,Non-Season,0.004907079
Instagram,Positive,Emotional,Profession,Suction,Non-Season,0.003200024
Facebook,Positive,Rational,Ordinary,Suction,Non-Season,0.010889774
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.016251026
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.028431506
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.014188598
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.015847861
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.012898437
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.01496366
Instagram,Positive,Rational,Character,Procedure,Season,0.023451559
Facebook,Positive,Rational,Character,Procedure,Season,0.019357699
Instagram,Positive,Rational,Ordinary,Procedure,Season,0.020454092
